iter	Passed	Remaining
333	551	1100
334	552	1097
335	554	1096
336	556	1094
337	557	1091
338	558	1089
339	559	1086
340	561	1084
341	562	1081
342	563	1079
343	564	1077
344	566	1074
345	567	1071
346	568	1069
347	569	1066
348	570	1064
349	571	1062
350	573	1059
351	574	1057
352	575	1055
353	577	1053
354	578	1050
355	579	1048
356	580	1045
357	581	1043
358	585	1044
359	587	1043
360	588	1041
361	589	1039
362	591	1037
363	592	1035
364	594	1033
365	595	1032
366	597	1030
367	598	1028
368	599	1025
369	600	1023
370	602	1021
371	603	1019
372	605	1017
373	606	1015
374	607	1012
375	608	1010
376	609	1007
377	611	1005
378	612	1003
379	613	1000
380	614	998
381	617	998
382	619	997
383	620	994
384	621	992
385	622	990
386	623	987
387	624	984
388	625	982
389	626	979
390	627	977
391	628	975
392	629	972
393	630	970
394	632	968
395	633	966
396	634	963
397	635	961
398	636	959
399	638	957
400	639	954
401	640	953
402	642	951
403	643	949
404	644	946
405	645	944
406	647	942
407	648	941
408	650	940
409	651	938
410	653	935
411	654	933
412	655	932
413	657	931
414	659	929
415	660	926
416	661	924
417	662	922
418	663	920
419	665	919
420	667	917
421	668	915
422	670	914
423	671	912
424	672	910
425	674	908
426	675	906
427	676	903
428	677	901
429	678	900
430	680	898
431	681	896
432	683	894
433	684	892
434	685	890
435	686	888
436	688	886
437	689	884
438	690	882
439	691	880
440	692	878
441	694	877
442	695	874
443	697	872
444	698	870
445	699	868
446	700	866
447	702	865
448	703	862
449	704	860
450	705	859
451	707	857
452	708	855
453	710	854
454	711	852
455	712	850
456	714	849
457	716	847
458	717	845
459	718	843
460	719	841
461	721	839
462	722	837
463	723	836
464	725	834
465	726	832
466	727	830
467	728	828
